gfs_id,institution,department,collection,size,gfs_size,electronic_metadata,published_digital_records,size_comments,metadata_scope_comments,catalog_url,catalog_comments,type_of_things,places,names,dates,subjects,academic_department,division,top_category,source_id,collection_digitized,how_many_digitized_versions,collection_digitized_comments,priority
GFS_ID,Institution,Department,Collection Title,How many things are there in this collection?,,Is there electronic metadata for this collection?,How many web-accessible digital metadata records are there?,Comments,Metadata Scope Comments,URL for online catalog,"If no, where described?",Types of things,Places,Names,Dates,Subjects,Academic Department ,Division,Top Level Category,Source ID,Is collection material digitised?,How many digitised versions of the things in the collection are there?,Collection material digitised comments,Priority
,blank?,Where relevant,"Yellow = Priority. Some of these are 'named' collections, some are 'constructed' collections",These are almost always estimates,Estimate from GFS for the source we have.,"All/Some/None
Does public electronic metadata exist for all, some, or none of collection?",Published digital records,,Further information about metadata - where it comes from and its relationship to the collections,"Some collections have electronic metadata that is not online. If it is not available to the public (at a terminal, for example) I have not included it in the counts.",Where are the parts that are not online described,,Place,Personal Names. High level descriptive info about each collection; Mostly in the Bodleian collections.,,,,,,This is simple url friendly identifier for the source metadata file.,"Y, Y?, %, N",Can we show the thing online?,,
bod-main,BOD,Bodleian Main Collection,Printed and published things in SOLO,"12,000,000",,All,8885599,updated by TA based on es count,https://gfsox.wordpress.com/2016/09/01/data-from-aleph-ils/,http://solo.bodleian.ox.ac.uk,,research publications; research data; theses; articles; working papers; reports,,,1450-2016,[GFS to analyse],[all],"MPLS, Medical Sciences, Social Sciences, Humanities","text, cartographic materials",bod-solo,%,"349,259",The largest single digital collection in here will be the Google Books. These should be identifiable with links to purl.ox.ac.uk,1
bod-chinese,BOD,Oriental Collections,Chinese,[GFS to do count],,All,[GFS to do count],,this should represent all the Chinese collections. These are not in SOLO,http://allegro.bodleian.ox.ac.uk/chinese/,http://www.bodleian.ox.ac.uk/ccl/about-us,books; manuscripts,China,,1400-2016,"China, Agriculture, Anthropology, archaeology, Communication and media, Development, Economics, Education, Environmental sciences, Geography, history, Human rights, Industries, International relations, Language, Law, Literature, Medicine, Music, Philosophy, Politics and government, Recreation, Religion, Science and technology, Sociology, Travel, Women.",Oriental Studies; Theology and Religion; Interdisciplinary Area Studies,"Humanities, Social Sciences","text, images",bod-chinese,%,216,About 216 things in digital.bodleian,
bod-john-johnson,BOD,Special Collections,John Johnson,"1,500,000",,Some,113895,<-- GFS count,This list describes what portions of the collection have been catalogued http://www.bodleian.ox.ac.uk/johnson/jj-images/digitised-sections There are some portions of the collection that are catalogued but available by subscription only,http://www.bodleian.ox.ac.uk/johnson/search/catalogue,"http://www.bodleian.ox.ac.uk/johnson/search/indexes

There are three separate indexes of the collection at the link at left.",printed ephemera; playbills; advertisements; tradecards,Britain,,1700-1939,"advertisements, art, architecture, books, booktrade, publishing, entertainment, pastimes, philately, social history, printing, sport, transport, postal history, travel",Economics; Politics and International Relations; Art; History of Art; English Language and Literature; Music; Business School; Education,"Humanities, Social Sciences",text,bod-john-johnson,%,63,What is digitised is going to be in digital.bodleian,
bod-broadside-ballads,BOD,Special Collections,Broadside Ballads,"30,000",,All,[GFS to do count],,Catalogue of all of the ballads in the John Johnson collection and in Rare Books. This is an old version of the data. The new catalogue is at ballads.bodleian.ox.ac.uk,http://ballads.bodleian.ox.ac.uk/,http://www.bodleian.ox.ac.uk/weston/about-us,printed broadside ballads; woodcuts; poems; songs,England,,1500-1899,"folk songs, poetry, ballads",Art; History of Art; English Language and Literature; Music,Humanities,"text, images",bod-ballads,%,?,,
bod-digital-bodleian,BOD,Bodleian Digital Library,Digital.Bodleian,"6,206",,All,"6,206","es count is 6206; actual page count is 618,826. the reality is that 100% of items should have metadata. so I'm just saying every book does.",,http://digital.bodleian.ox.ac.uk/,,manuscripts; books; maps; incunabula; ephemera; board games; posters,,,1400-1900,"manuscripts, literature, ephemera, bindings, history and politics, oriental studies, Judaica, Hebrew, science, natural history",Art; History of Art; English Language and Literature; Music; Medieval and Modern Languages; Earth Sciences; Plant Sciences; Politics and International Relations; History,"Humanities, Social Sciences, MPLS","text, images",bod-digital,Y,"6,206",,1
bod-oxford-university-reseseach-archive-ora,BOD,Bodleian Digital Library,Oxford University Research Archive (ORA),"143,000",,All,143000,updated by TA based on es count,"A complete download from ORA, but a few months old",https://ora.ox.ac.uk/,,research publications; research data; theses; articles; working papers; reports,Oxford,,1925-2017,?,[all],"MPLS, Medical Sciences, Social Sciences, Humanities","text, data",bod-ora,%,?,"Will have ""containsFullText"":true",1
bod-hebrew-manuscripts,BOD,Special Collections,Hebrew Manuscripts,"3,000",287 (501 files but only 287 unique ones),Some,287,updated by TA based on es count,Catalogue only available from Oxford IP,http://hebrew-prd.bodleian.ox.ac.uk/,"http://solo.ouls.ox.ac.uk/OXVU1:LSCOP_OX:oxfaleph014792987; http://
/OXVU1:LSCOP_OX:oxfaleph011185388

The Neubauer catalogue (2 volumes) is the most complete list. This was later updated",manuscripts,,,922-1467,"Hebrew, Judaica, manuscripts, theology",Oriental Studies; Theology and Religion,Humanities,text,bod-hebrew-tei,%,641,What is digitised is going to be in digital.bodleian,1
bod-shan-manuscripts,BOD,Special Collections,Shan Manuscripts,300,,All,[GFS to do count],,,,http://libguides.bodleian.ox.ac.uk/oriental-sc,manuscripts,Myanmar,,1800-2000,"Buddhism, Theravada, literature",Oriental Studies; Theology and Religion,Humanities,text,bod-shan-tei,N,0,,1
