item,count,gfs_title,gfs_title_percent,gfs_author,gfs_author_percent,gfs_author_id,gfs_author_id_percent,gfs_pubyear,gfs_pubyear_percent,gfs_pubyear_clean,gfs_pubyear_clean_percent,gfs_subject,gfs_subject_percent,gfs_subject_id,gfs_subject_id_percent,gfs_description,gfs_description_percent,gfs_item_type,gfs_item_type_percent,gfs_is_digitized,gfs_is_digitized_percent
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-archives-and-modern-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-archives-and-modern-papers-african-commonwealth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-archives-and-modern-papers-assorted-others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-archives-and-modern-papers-historical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-archives-and-modern-papers-literature-and-the-arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-archives-and-modern-papers-political-papers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-archives-and-modern-papers-religion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-archives-and-modern-papers-science-and-medicine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-archives-and-modern-papers-university,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-bodleian-japanese-library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-broadside-ballads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-central-asian-collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-chinese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-classical-indology-pali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-classical-indology-pashto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-classical-indology-persian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-classical-indology-prakrit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-classical-indology-sinhalese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-classical-indology-tami-kannada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-classical-indology-telugu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-classical-indology-tibetan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-classical-indology-urdu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-coptic-collection-manuscripts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-digital-bodleian,6206,5992,97.0,2054,33.0,0,0.0,4859,78.0,1720,28.0,3755,61.0,0,0.0,4815,78.0,6206,100.0,0,0.0
bod-hebraica-cairo-genizah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-hebraica-ethiopic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-hebraica-lewis-gibson-genizah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-hebraica-syriac-manuscripts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-hebrew-manuscripts,287,287,100.0,182,63.0,170,59.0,18,6.0,17,6.0,287,100.0,0,0.0,0,0.0,0,0.0,0,0.0
bod-india-institute-library,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-indic-manuscripts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-indic-paintings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-islamic-collections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-john-johnson,112573,112159,100.0,21596,19.0,0,0.0,112573,100.0,10455,9.0,2764,2.0,0,0.0,103376,92.0,112159,100.0,112143,100.0
bod-main,8885599,8867117,100.0,6778365,76.0,5576105,63.0,8885599,100.0,8256314,93.0,6119050,69.0,4573967,51.0,6536727,74.0,8885599,100.0,1115965,13.0
bod-maps,140534,140527,100.0,9966,7.0,9355,7.0,140534,100.0,133818,95.0,135251,96.0,111885,80.0,135260,96.0,140534,100.0,95013,68.0
bod-medieval-manuscripts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-mongolian-collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-music,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-music-special,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-nipponica-collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-oxford-university-reseseach-archive-ora,143000,141650,99.0,141261,99.0,0,0.0,140176,98.0,140124,98.0,83522,58.0,0,0.0,97891,68.0,141607,99.0,0,0.0
bod-sanskrit-manuscript-collection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bod-shan-manuscripts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hrb,42525,42525,100.0,34033,80.0,0,0.0,42525,100.0,8862,21.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
mhs-barnett-collections,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs-beeson-collection,85,85,100.0,0,0.0,0,0.0,72,85.0,6,7.0,0,0.0,0,0.0,62,73.0,59,69.0,0,0.0
mhs-bertie-photographs,94,94,100.0,0,0.0,0,0.0,24,26.0,1,1.0,0,0.0,0,0.0,94,100.0,0,0.0,0,0.0
mhs-billmeir-collection,177,177,100.0,0,0.0,0,0.0,139,79.0,19,11.0,116,66.0,0,0.0,146,82.0,154,87.0,0,0.0
mhs-blundell-manuscripts,4,4,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0
mhs-books,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs-bristow-collection,28,28,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,28,100.0,0,0.0,0,0.0
mhs-buxton-collection,2,2,100.0,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0
mhs-canziani-photographs,136,136,100.0,0,0.0,0,0.0,11,8.0,5,4.0,0,0.0,0,0.0,136,100.0,0,0.0,0,0.0
mhs-carpenter-photographs,29,29,100.0,0,0.0,0,0.0,16,55.0,4,14.0,0,0.0,0,0.0,29,100.0,0,0.0,0,0.0
mhs-clay-collection,814,814,100.0,0,0.0,0,0.0,580,71.0,77,9.0,283,35.0,0,0.0,788,97.0,524,64.0,0,0.0
mhs-clay-collection-additions,7,7,100.0,0,0.0,0,0.0,7,100.0,0,0.0,7,100.0,0,0.0,7,100.0,6,86.0,0,0.0
mhs-daubeny-collection,5,5,100.0,0,0.0,0,0.0,5,100.0,0,0.0,0,0.0,0,0.0,5,100.0,1,20.0,0,0.0
mhs-dyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
