text,images,sound & moving images,objects,specimens,data ,cartographic materials
advertisements,advertisements,audio & video,apparatus,arachnids,research data,atlases
almanacs,acetate/nitrate negatives,films,armillary sphere,birds,,cartographic materials
archives,albums,musical scores,astrolabes,brachiopods,,maps
article drafts,blueprints,printed music,autochrome filter,corals,,terrestrial globes
article offprints,cartoons,songs,board games,damselflies,,
articles,contact prints,sound recordings,bronzes,diptera,,
bills,drawings,,busts,dragonflies,,
books,etchings,,cabinets,early ammonoids,,
calendars,film,,cameras,early vertebrates,,
card indexes,glass plate negatives,,casts,embioptera,,
carpet analysis sheets,lantern slides,,ceramics,fossils,,
cash-books,miniatures,,clocks,herbaria,,
catalogues,negatives,,coins,human remains,,
codices,paintings,,crosses,malecites,,
correspondence,photograph albums,,dials,mammals,,
diaries,photographs,,electrotypes,minerals,,
dissertations,portraits,,enamels,odonata,,
documents,posters,,fans,plant specimens,,
ephemera,prints,,finger rings,plecoptera,,
field notes,rubbings,,frames,rocks,,
genizah fragments,sketchbooks,,furniture,seeds,,
handlists,slides,,gems,specimens,,
incunabula,stereoscopic photographs,,glass,stoneflies,,
inscriptions,tradecards,,gold boxes,strepsiptera,,
insurance policies,visual materials,,instruments,,,
inventories,watercolors,,ivories,,,
journals,wine labels,,jewellery,,,
lecture notes,woodcuts,,keys,,,
lectures,xylographs,,materia medica cabinets,,,
manuscripts,,,mathematical apparatus,,,
microfilm,,,medals,,,
miscellany,,,microscopes,,,
musical scores,,,miniatures,,,
musical transcriptions,,,netsuke,,,
newspaper cuttings,,,objects,,,
notebooks,,,orreries,,,
notes,,,personal items,,,
official publications,,,plaquettes,,,
pamphlets,,,plaster casts,,,
papers,,,radios,,,
papyri,,,rings,,,
personal papers,,,scrapbooks,,,
playbills,,,sculpture,,,
poems,,,seals,,,
printed broadside ballads,,,silver,,,
printed ephemera,,,speedometers,,,
printed music,,,tablets,,,
printed papers,,,telegraph equipment,,,
published materials,,,telescopes,,,
receipts,,,terracottas,,,
registers,,,terrestrial globes,,,
reports,,,textiles,,,
research notes,,,tiles,,,
research publications,,,timepieces,,,
rubbings,,,tokens,,,
scrapbooks,,,vases,,,
serials,,,,,,
telegrams,,,,,,
theses,,,,,,
tradecards,,,,,,
typescripts,,,,,,
unpublished writings,,,,,,
wine labels,,,,,,
working papers,,,,,,
,scrapbooks,,,,,
